Product Name,Category,Opening Stock,Closing Stock,Units Sold,Purchase Price,Sale Price,Purchase Quantity,Supplier Name,Date
Kurta Pyjama Set,Men's Wear,100,109,11,850,1200,20,Sundaram Textiles,2026-01-01
Kurta Pyjama Set,Men's Wear,109,95,14,850,1200,0,Sundaram Textiles,2026-01-08
Kurta Pyjama Set,Men's Wear,95,90,5,850,1200,0,Sundaram Textiles,2026-01-15
Kurta Pyjama Set,Men's Wear,90,85,5,850,1200,0,Sundaram Textiles,2026-01-22
Kurta Pyjama Set,Men's Wear,85,104,4,850,1200,23,Sundaram Textiles,2026-01-29
Kurta Pyjama Set,Men's Wear,104,101,3,850,1200,0,Sundaram Textiles,2026-02-05
Kurta Pyjama Set,Men's Wear,101,82,19,850,1200,0,Sundaram Textiles,2026-02-12
Kurta Pyjama Set,Men's Wear,82,5,77,850,1200,0,Sundaram Textiles,2026-02-19
Cotton Dhoti,Men's Wear,61,76,11,350,500,26,Sundaram Textiles,2026-01-01
Cotton Dhoti,Men's Wear,76,63,13,350,500,0,Sundaram Textiles,2026-01-08
Cotton Dhoti,Men's Wear,63,61,2,350,500,0,Sundaram Textiles,2026-01-15
Cotton Dhoti,Men's Wear,61,56,5,350,500,0,Sundaram Textiles,2026-01-22
Cotton Dhoti,Men's Wear,56,75,8,350,500,27,Sundaram Textiles,2026-01-29
Cotton Dhoti,Men's Wear,75,66,9,350,500,0,Sundaram Textiles,2026-02-05
Cotton Dhoti,Men's Wear,66,47,19,350,500,0,Sundaram Textiles,2026-02-12
Cotton Dhoti,Men's Wear,47,33,14,350,500,0,Sundaram Textiles,2026-02-19
Nehru Jacket,Men's Wear,60,93,0,1100,1550,33,Royal Garments,2026-01-01
Nehru Jacket,Men's Wear,93,92,1,1100,1550,0,Royal Garments,2026-01-08
Nehru Jacket,Men's Wear,92,91,1,1100,1550,0,Royal Garments,2026-01-15
Nehru Jacket,Men's Wear,91,91,0,1100,1550,0,Royal Garments,2026-01-22
Nehru Jacket,Men's Wear,91,121,0,1100,1550,30,Royal Garments,2026-01-29
Nehru Jacket,Men's Wear,121,121,0,1100,1550,0,Royal Garments,2026-02-05
Nehru Jacket,Men's Wear,121,121,0,1100,1550,0,Royal Garments,2026-02-12
Nehru Jacket,Men's Wear,121,120,1,1100,1550,0,Royal Garments,2026-02-19
Linen Shirt,Men's Wear,66,82,15,600,850,31,Royal Garments,2026-01-01
Linen Shirt,Men's Wear,82,63,19,600,850,0,Royal Garments,2026-01-08
Linen Shirt,Men's Wear,63,57,6,600,850,0,Royal Garments,2026-01-15
Linen Shirt,Men's Wear,57,55,2,600,850,0,Royal Garments,2026-01-22
Linen Shirt,Men's Wear,55,83,9,600,850,37,Royal Garments,2026-01-29
Linen Shirt,Men's Wear,83,80,3,600,850,0,Royal Garments,2026-02-05
Linen Shirt,Men's Wear,80,64,16,600,850,0,Royal Garments,2026-02-12
Linen Shirt,Men's Wear,64,53,11,600,850,0,Royal Garments,2026-02-19
Bandhgala Suit,Men's Wear,95,121,14,1800,2500,40,Raj Fabrics,2026-01-01
Bandhgala Suit,Men's Wear,121,102,19,1800,2500,0,Raj Fabrics,2026-01-08
Bandhgala Suit,Men's Wear,102,95,7,1800,2500,0,Raj Fabrics,2026-01-15
Bandhgala Suit,Men's Wear,95,90,5,1800,2500,0,Raj Fabrics,2026-01-22
Bandhgala Suit,Men's Wear,90,108,3,1800,2500,21,Raj Fabrics,2026-01-29
Bandhgala Suit,Men's Wear,108,103,5,1800,2500,0,Raj Fabrics,2026-02-05
Bandhgala Suit,Men's Wear,103,89,14,1800,2500,0,Raj Fabrics,2026-02-12
Bandhgala Suit,Men's Wear,89,78,11,1800,2500,0,Raj Fabrics,2026-02-19
Lungi (Checked),Men's Wear,74,106,0,250,350,32,Raj Fabrics,2026-01-01
Lungi (Checked),Men's Wear,106,105,1,250,350,0,Raj Fabrics,2026-01-08
Lungi (Checked),Men's Wear,105,104,1,250,350,0,Raj Fabrics,2026-01-15
Lungi (Checked),Men's Wear,104,102,2,250,350,0,Raj Fabrics,2026-01-22
Lungi (Checked),Men's Wear,102,126,1,250,350,25,Raj Fabrics,2026-01-29
